r_lat,r_lng,neighborhood,locality,county
41.884,-87.624,Chicago Loop,Chicago,Cook County
41.93,-87.69,Logan Square,Chicago,Cook County
41.94,-87.671,Lake View,Chicago,Cook County
41.903,-87.638,Near North Side,Chicago,Cook County
41.876,-87.629,Chicago Loop,Chicago,Cook County
41.799,-87.586,East Hyde Park,Chicago,Cook County
41.883,-87.633,Chicago Loop,Chicago,Cook County
41.955,-87.674,North Center,Chicago,Cook County
41.884,-87.657,Fulton Market District,Chicago,Cook County
41.967,-87.679,Lincoln Square,Chicago,Cook County
41.92,-87.693,Logan Square,Chicago,Cook County
41.854,-87.619,Near South Side,Chicago,Cook County
41.91,-87.69,West Town,Chicago,Cook County
41.792,-87.584,Jackson Park,Chicago,Cook County
41.799,-87.601,Hyde Park,Chicago,Cook County
41.89,-87.66,West Town,Chicago,Cook County
41.867,-87.649,Little Italy,Chicago,Cook County
41.918,-87.682,Bucktown,Chicago,Cook County
41.939,-87.683,Hamlin Park,Chicago,Cook County
41.93,-87.7,Logan Square,Chicago,Cook County
41.835,-87.618,Douglas,Chicago,Cook County
41.97,-87.65,Uptown,Chicago,Cook County
41.91,-87.697,West Town,Chicago,Cook County
41.97,-87.655,Uptown,Chicago,Cook County
41.949,-87.675,North Center,Chicago,Cook County
41.976,-87.679,Lincoln Square,Chicago,Cook County
41.92,-87.66,Lincoln Park,Chicago,Cook County
41.903,-87.684,West Town,Chicago,Cook County
41.878,-87.649,West Loop,Chicago,Cook County
41.932,-87.678,Lincoln Park,Chicago,Cook County
41.922,-87.707,Logan Square,Chicago,Cook County
41.862,-87.651,Little Italy,Chicago,Cook County
41.9,-87.64,Cabrini-Green,Chicago,Cook County
41.88,-87.66,West Loop,Chicago,Cook County
41.869,-87.674,Near West Side,Chicago,Cook County
41.95,-87.69,North Center,Chicago,Cook County
41.887,-87.658,Fulton Market District,Chicago,Cook County
41.98,-87.66,Edgewater,Chicago,Cook County
41.803,-87.59,Kenwood,Chicago,Cook County
41.91,-87.7,West Town,Chicago,Cook County
41.944,-87.671,Lake View,Chicago,Cook County
41.97,-87.67,Ravenswood,Chicago,Cook County
41.97,-87.66,Uptown,Chicago,Cook County
41.927,-87.698,Logan Square,Chicago,Cook County
41.946,-87.673,Lake View,Chicago,Cook County
41.858,-87.669,Lower West Side,Chicago,Cook County
41.94,-87.69,Roscoe Village,Chicago,Cook County
42.001,-87.661,Rogers Park,Chicago,Cook County
41.904,-87.643,Cabrini-Green,Chicago,Cook County
41.918,-87.691,Logan Square,Chicago,Cook County
41.92,-87.72,Logan Square,Chicago,Cook County
41.943,-87.687,Roscoe Village,Chicago,Cook County
41.892,-87.677,West Town,Chicago,Cook County
41.91,-87.71,Humboldt Park,Chicago,Cook County
41.872,-87.661,Little Italy,Chicago,Cook County
41.963,-87.679,Lincoln Square,Chicago,Cook County
41.914,-87.717,Logan Square,Chicago,Cook County
41.872,-87.67,Near West Side,Chicago,Cook County
41.93,-87.72,Logan Square,Chicago,Cook County
41.8,-87.6,Hyde Park,Chicago,Cook County
41.858,-87.646,East Pilsen,Chicago,Cook County
41.944,-87.655,Lake View East,Chicago,Cook County
41.937,-87.648,Lake View East,Chicago,Cook County
42.048,-87.683,NA,Evanston,Cook County
